case_id,date_id,loc_id,car_id1,car_id2,car_id3,car_id4,nm_id1,nm_id2,nm_id3,nm_id4,fatalities
10027,106,11,38.0,,,,1.0,,,,1
10100,394,38,143.0,,,,22.0,,,,1
10157,618,331,220.0,,,,23.0,,,,1
10165,650,237,232.0,,,,31.0,,,,1
10226,890,137,321.0,,,,48.0,,,,1
10250,986,299,357.0,,,,56.0,,,,1
10290,1146,121,419.0,,,,42.0,,,,1
10379,1498,114,524.0,,,,43.0,,,,1
10467,1850,84,652.0,,,,55.0,,,,1
10491,1946,61,719.0,,,,70.0,105.0,66.0,109.0,1
10531,2106,219,752.0,,,,71.0,,,,1
10619,2458,87,943.0,,,,90.0,,,,1
10623,2474,197,950.0,,,,121.0,,,,1
10661,2618,76,1006.0,,,,133.0,,,,1
10697,2762,187,980.0,,,,91.0,,,,1
10738,2922,71,1032.0,,,,99.0,,,,1
10750,2970,315,1052.0,,,,114.0,118.0,107.0,111.0,1
10782,3098,306,1125.0,,,,120.0,124.0,130.0,116.0,1
10790,3130,56,1182.0,,,,153.0,,,,1
10853,3370,248,1208.0,,,,171.0,,,,1
10873,3450,0,1302.0,,,,189.0,,,,1
20011,3498,482,1283.0,,,,150.0,,,,1
20055,3674,285,1355.0,,,,154.0,,,,1
20063,3706,391,1398.0,,,,221.0,,,,1
40073,4042,1422,1495.0,,,,186.0,,,,1
40077,4058,601,1502.0,,,,253.0,,,,1
40089,4106,911,1514.0,,,,257.0,,,,1
40114,4202,741,1554.0,1551.0,,,269.0,265.0,,,1
40126,4250,1386,1575.0,,,,210.0,,,,1
40131,4266,524,1537.0,,,,212.0,,,,1
40139,4298,891,1553.0,,,,220.0,,,,1
40148,4330,887,1528.0,,,,243.0,,,,1
40188,4490,1322,1679.0,,,,230.0,,,,1
40264,4778,376,1741.0,,,,300.0,,,,1
40303,4922,1226,1855.0,,,,294.0,,,,1
40320,4986,1186,1846.0,,,,365.0,,,,1
40330,5018,1178,1862.0,,,,369.0,,,,1
40355,5114,1166,1869.0,,,,324.0,,,,1
40389,5242,1106,1856.0,,,,315.0,,,,1
40409,5322,713,2027.0,,,,326.0,,,,1
40413,5338,1082,1953.0,,,,344.0,,,,1
