case_id,date_id,loc_id,car_id1,car_id2,car_id3,car_id4,nm_id1,nm_id2,nm_id3,nm_id4,fatalities
10007,24,287,11.0,,,,2.0,,,,1
10027,104,202,49.0,,,,8.0,,,,1
10032,124,279,61.0,,,,12.0,,,,1
10034,132,72,40.0,,,,7.0,,,,1
10061,240,129,72.0,,,,11.0,,,,1
10080,316,394,141.0,,,,20.0,,,,1
10094,372,180,130.0,165.0,135.0,,24.0,,,,1
10103,408,302,181.0,,,,28.0,,,,1
10113,444,34,158.0,,,,5.0,,,,1
10125,488,125,205.0,,,,32.0,,,,1
10141,552,190,237.0,211.0,233.0,202.0,15.0,,,,1
10143,560,386,206.0,,,,9.0,,,,1
10144,564,5,192.0,,,,23.0,,,,1
10152,596,290,223.0,,,,18.0,,,,1
10160,628,294,257.0,,,,36.0,,,,1
10162,636,182,238.0,,,,13.0,,,,1
10186,732,151,293.0,266.0,,,40.0,,,,1
10197,776,178,286.0,,,,17.0,,,,1
10225,888,174,339.0,,,,26.0,,,,1
10257,1016,256,356.0,,,,31.0,,,,1
10261,1032,163,370.0,,,,21.0,,,,1
10278,1100,139,411.0,,,,30.0,,,,1
10280,1108,170,394.0,,,,25.0,,,,1
10317,1248,234,428.0,,,,39.0,,,,1
10376,1484,56,543.0,,,,42.0,,,,1
10410,1620,150,572.0,,,,63.0,,,,1
10423,1672,362,588.0,,,,67.0,,,,1
10424,1676,335,606.0,,,,37.0,,,,1
10426,1684,260,592.0,,,,71.0,,,,1
10436,1724,466,713.0,,,,52.0,,,,1
10457,1808,7,670.0,,,,41.0,,,,1
10458,1812,109,632.0,,,,79.0,,,,1
10482,1908,97,711.0,,,,58.0,,,,1
10496,1960,130,793.0,,,,60.0,,,,1
10504,1992,121,726.0,,,,45.0,,,,1
10508,2008,118,747.0,716.0,,,62.0,,,,1
10525,2072,127,758.0,,,,49.0,,,,1
10548,2164,402,815.0,,,,74.0,,,,1
10601,2376,119,868.0,891.0,,,78.0,,,,1
10625,2468,115,935.0,,,,82.0,,,,1
10665,2628,160,999.0,,,,90.0,,,,1
10669,2644,11,1003.0,,,,94.0,,,,1
10675,2668,226,1097.0,,,,84.0,,,,1
10693,2740,40,996.0,,,,103.0,,,,1
10728,2880,67,1177.0,,,,92.0,,,,1
10740,2928,338,1060.0,,,,111.0,,,,1
10743,2940,19,1111.0,,,,106.0,,,,1
10746,2952,53,1072.0,,,,115.0,,,,1
10751,2972,86,1209.0,,,,123.0,119.0,96.0,100.0,1
10756,2992,78,1074.0,,,,65.0,,,,1
10762,3016,87,1135.0,,,,118.0,,,,1
10773,3060,334,1241.0,,,,104.0,,,,1
10778,3080,74,1249.0,,,,108.0,,,,1
10791,3132,66,1136.0,,,,131.0,,,,1
10793,3140,246,1277.0,,,,112.0,,,,1
10804,3184,80,1301.0,,,,116.0,,,,1
10813,3220,330,1162.0,,,,73.0,,,,1
10822,3256,181,1321.0,1178.0,,,120.0,,,,1
10830,3288,326,1333.0,,,,128.0,,,,1
10836,3304,175,1198.0,,,,77.0,,,,1
10863,3408,434,1236.0,,,,143.0,,,,1
10867,3424,167,1389.0,,,,132.0,,,,1
10874,3452,108,1307.0,,,,130.0,,,,1
10882,3484,314,1315.0,,,,134.0,,,,1
20010,3540,261,1298.0,,,,85.0,,,,1
20013,3552,379,1445.0,,,,140.0,,,,1
20019,3576,344,1288.0,,,,147.0,,,,1
20020,3580,534,1310.0,,,,89.0,,,,1
20023,3592,245,1457.0,,,,144.0,,,,1
20027,3608,237,1461.0,,,,148.0,,,,1
20039,3656,277,1375.0,,,,138.0,,,,1
20044,3676,221,1350.0,,,,93.0,,,,1
20047,3688,217,1387.0,,,,142.0,,,,1
20057,3728,201,1364.0,,,,151.0,,,,1
20060,3740,367,1370.0,1368.0,1517.0,,155.0,,,,1
20062,3748,193,1521.0,,,,152.0,,,,1
20065,3760,514,1525.0,,,,156.0,,,,1
20066,3764,340,1372.0,,,,159.0,,,,1
20069,3776,185,1533.0,,,,160.0,,,,1
40005,3796,1127,1382.0,,,,97.0,,,,1
40009,3812,1123,1553.0,,,,164.0,,,,1
40024,3872,520,1426.0,1577.0,,,172.0,,,,1
40025,3876,630,1581.0,,,,176.0,,,,1
40036,3920,1558,1593.0,,,,180.0,,,,1
40039,3932,417,1601.0,1475.0,,,146.0,,,,1
40040,3936,733,1432.0,,,,163.0,,,,1
40042,3944,1554,1605.0,,,,184.0,,,,1
40045,3956,1546,1442.0,,,,101.0,,,,1
40046,3960,1542,1446.0,1613.0,1440.0,1491.0,167.0,,,,1
40061,4016,1534,1468.0,,,,171.0,,,,1
40063,4024,1526,1472.0,,,,175.0,,,,1
40065,4028,1522,1470.0,,,,105.0,,,,1
40068,4040,1510,1519.0,,,,154.0,,,,1
40069,4044,1506,1633.0,,,,188.0,,,,1
40070,4048,1502,1523.0,,,,158.0,,,,1
40071,4052,1498,1637.0,,,,192.0,,,,1
40077,4072,683,1486.0,,,,109.0,,,,1
40079,4080,388,1490.0,,,,113.0,,,,1
40080,4084,415,1494.0,,,,117.0,,,,1
40082,4092,333,1645.0,,,,196.0,,,,1
40095,4136,1103,1661.0,,,,200.0,,,,1
40096,4140,1099,1559.0,,,,162.0,,,,1
40101,4160,1474,1530.0,,,,125.0,,,,1
40116,4220,1087,1591.0,,,,166.0,,,,1
40119,4228,1083,1595.0,,,,170.0,,,,1
40138,4304,561,1631.0,,,,174.0,,,,1
40154,4360,1450,1647.0,,,,178.0,,,,1
40156,4368,1442,1655.0,,,,182.0,,,,1
40158,4376,1434,1594.0,,,,133.0,,,,1
40171,4424,1071,1614.0,1632.0,,,141.0,149.0,145.0,186.0,1
40174,4436,675,1679.0,,,,198.0,,,,1
40177,4448,1414,1687.0,,,,202.0,,,,1
40178,4452,1410,1781.0,,,,204.0,,,,1
40180,4460,1406,1691.0,,,,206.0,,,,1
40184,4476,549,1785.0,,,,208.0,,,,1
40185,4480,787,1699.0,,,,210.0,,,,1
40190,4500,1402,1797.0,,,,212.0,,,,1
40204,4556,1398,1662.0,,,,157.0,,,,1
40206,4564,1063,1825.0,,,,220.0,,,,1
40208,4572,1386,1829.0,,,,224.0,,,,1
40211,4584,1382,1833.0,,,,228.0,,,,1
40212,4588,1378,1747.0,,,,214.0,,,,1
40213,4592,1374,1837.0,,,,232.0,,,,1
40217,4608,725,1751.0,,,,218.0,,,,1
40218,4612,1370,1845.0,,,,236.0,,,,1
40220,4620,721,1682.0,,,,161.0,,,,1
40234,4668,1346,1704.0,,,,211.0,,,,1
40235,4672,452,1706.0,,,,165.0,,,,1
40236,4676,1342,1708.0,,,,215.0,,,,1
40243,4700,463,1869.0,,,,223.0,248.0,226.0,252.0,3
40244,4704,1330,1791.0,,,,238.0,,,,1
40252,4736,1326,1885.0,,,,256.0,,,,1
40254,4744,637,1726.0,,,,189.0,,,,1
40258,4760,1314,1811.0,,,,242.0,,,,1
40273,4820,1306,1738.0,,,,193.0,,,,1
40281,4848,1302,1921.0,,,,264.0,,,,1
40284,4860,1298,1859.0,,,,246.0,,,,1
40292,4892,1051,1875.0,,,,254.0,,,,1
40298,4916,1294,1788.0,,,,235.0,,,,1
40300,4924,357,1774.0,,,,197.0,,,,1
40301,4928,1290,1796.0,,,,239.0,,,,1
40303,4936,1286,1800.0,1953.0,,,243.0,,,,1
40307,4952,1282,1804.0,,,,247.0,,,,1
40311,4968,1278,1969.0,,,,268.0,,,,1
40312,4972,1610,1895.0,,,,258.0,,,,1
40316,4988,603,1903.0,,,,262.0,,,,1
40317,4992,1274,1981.0,,,,272.0,,,,1
40321,5004,1266,1907.0,,,,266.0,,,,1
40324,5016,1254,1993.0,,,,276.0,,,,1
40325,5020,1250,1911.0,,,,270.0,,,,1
40331,5044,1238,1810.0,,,,205.0,,,,1
40334,5056,543,1832.0,,,,251.0,,,,1
40335,5060,709,1822.0,,,,209.0,,,,1
40337,5068,1230,2009.0,,,,284.0,,,,1
40344,5096,1222,2021.0,,,,288.0,,,,2
40353,5128,544,1842.0,,,,213.0,,,,1
40358,5148,1035,1854.0,,,,217.0,,,,1
40370,5192,1206,2065.0,,,,292.0,,,,1
40375,5208,521,1884.0,,,,255.0,,,,1
40376,5212,1202,1898.0,2007.0,1888.0,,221.0,,,,1
40382,5236,451,1910.0,,,,225.0,,,,1
40383,5240,1198,2027.0,1914.0,,,233.0,229.0,296.0,300.0,1
40396,5292,539,1946.0,,,,237.0,,,,1
40399,5304,1194,1950.0,,,,241.0,,,,1
40401,5312,1190,2113.0,,,,304.0,,,,1
40402,5316,1186,2059.0,,,,278.0,,,,1
40408,5340,535,1928.0,,,,259.0,,,,1
40411,5352,1174,2129.0,,,,316.0,,,,1
40420,5388,1027,2145.0,,,,320.0,,,,1
40424,5404,1158,2157.0,,,,324.0,,,,1
40430,5428,1146,1948.0,,,,263.0,,,,1
40435,5448,1023,1956.0,,,,271.0,,,,1
40438,5460,517,2185.0,,,,328.0,,,,1
40442,5476,1134,2193.0,1960.0,2111.0,,249.0,253.0,298.0,302.0,1
40444,5484,771,2197.0,,,,332.0,,,,1
40448,5500,1126,2209.0,,,,336.0,,,,1
40453,5520,1122,2014.0,,,,257.0,,,,1
40455,5528,1118,2127.0,,,,306.0,,,,1
40456,5532,1598,2221.0,,,,340.0,,,,1
40460,5548,1114,2135.0,,,,310.0,,,,1
40468,5580,353,1988.0,,,,275.0,,,,1
40480,5628,1106,2004.0,,,,279.0,,,,1
40484,5644,1090,2171.0,,,,314.0,,,,1
40485,5648,1086,2265.0,,,,344.0,,,,1
40496,5692,1062,2028.0,,,,283.0,,,,1
40497,5696,436,2078.0,,,,261.0,,,,1
40499,5704,699,2036.0,,,,287.0,,,,1
40504,5724,1011,2293.0,,,,348.0,,,,1
40512,5756,431,2102.0,,,,265.0,,,,1
40517,5776,527,2223.0,,,,318.0,,,,1
40533,5828,991,2130.0,,,,269.0,,,,1
40535,5836,987,2138.0,,,,273.0,,,,1
40539,5852,1042,2100.0,,,,295.0,,,,1
40545,5876,1038,2158.0,,,,277.0,,,,1
40557,5924,519,2116.0,,,,299.0,,,,1
40559,5932,1034,2182.0,,,,285.0,,,,1
40560,5936,1030,2124.0,,,,303.0,,,,1
40561,5940,1026,2186.0,,,,289.0,,,,1
40565,5956,759,2291.0,,,,322.0,,,,1
40568,5968,1006,2369.0,,,,356.0,,,,1
40571,5980,998,2303.0,,,,330.0,,,,1
40574,5992,994,2148.0,,,,307.0,,,,1
40577,6004,986,2381.0,,,,360.0,,,,1
40579,6012,515,2152.0,,,,311.0,,,,1
40580,6016,345,2206.0,,,,293.0,,,,1
40583,6028,979,2311.0,,,,334.0,338.0,,,1
40595,6076,492,2176.0,,,,350.0,346.0,315.0,319.0,2
40598,6088,971,2335.0,,,,354.0,,,,1
40609,6128,958,2359.0,,,,358.0,,,,1
40611,6136,950,2433.0,2258.0,,,323.0,368.0,327.0,364.0,1
40612,6140,946,2204.0,,,,331.0,,,,1
40613,6144,528,2262.0,,,,301.0,,,,1
40614,6148,942,2208.0,,,,335.0,,,,1
40618,6164,934,2220.0,,,,339.0,,,,1
40619,6168,930,2270.0,2363.0,,,305.0,,,,1
40621,6176,926,2274.0,,,,309.0,,,,1
40622,6180,807,2228.0,,,,343.0,,,,1
40624,6188,922,2232.0,2453.0,,,347.0,,,,1
40626,6192,918,2367.0,,,,362.0,,,,1
40627,6196,967,2457.0,,,,372.0,,,,1
40629,6204,914,2282.0,,,,313.0,,,,1
40634,6224,959,2290.0,,,,317.0,,,,1
40642,6256,910,2252.0,,,,351.0,,,,1
40643,6260,595,2306.0,,,,321.0,,,,1
40644,6264,489,2256.0,,,,355.0,,,,1
40646,6272,503,2481.0,,,,376.0,,,,1
40647,6276,618,2260.0,,,,359.0,,,,1
40648,6280,499,2314.0,,,,325.0,,,,1
40649,6284,951,2485.0,,,,380.0,,,,1
40652,6296,751,2493.0,,,,384.0,,,,1
