state,st_case,county,city,day,month,year,day_week,hour,minute,latitude,longitud,fatals
37,370429,61,0,2,5,2018,4,19,13,35.115975,-77.9076,3
37,370430,61,0,2,5,2018,4,20,55,34.82226389,-78.0301,1
37,370431,63,1360,5,5,2018,7,3,0,36.03470278,-78.9674,1
37,370432,67,5120,4,5,2018,6,22,32,36.10614444,-80.1589,1
37,370433,67,2430,3,5,2018,5,22,50,36.11164167,-80.0483,1
37,370434,67,0,6,5,2018,1,14,38,99.9999,999.9999,1
37,370435,67,5120,9,5,2018,4,10,23,36.10466667,-80.3083,1
37,370436,67,0,11,5,2018,6,20,53,36.06997222,-80.2207,1
37,370437,71,0,8,5,2018,3,9,13,35.27153611,-81.1565,1
37,370438,71,1800,15,5,2018,3,13,57,35.25705556,-81.2564,1
37,370439,71,1800,25,5,2018,6,20,55,35.24922778,-81.1435,1
37,370440,71,0,29,5,2018,3,8,41,35.26517778,-81.0679,1
37,370441,81,1940,5,5,2018,7,20,48,36.02722222,-79.8173,1
37,370442,81,1940,16,5,2018,4,17,15,36.12149444,-79.7509,1
37,370443,81,0,18,5,2018,6,23,31,36.03868889,-79.7563,1
37,370444,81,1940,19,5,2018,7,10,8,36.03436667,-79.7987,1
37,370445,81,1940,19,5,2018,7,13,32,36.04659444,-79.7588,1
37,370446,81,2170,24,5,2018,5,21,50,35.991925,-80.0,1
37,370447,87,0,21,5,2018,2,21,29,35.51788056,-82.9755,1
37,370448,91,0,12,5,2018,7,17,43,36.35,-76.9386,1
37,370449,97,0,17,5,2018,5,16,39,35.76888889,-80.8232,1
37,370450,101,0,2,5,2018,4,13,48,35.42991389,-78.2469,1
37,370451,101,0,5,5,2018,7,5,6,35.44640833,-78.3881,1
37,370452,101,0,16,5,2018,4,11,11,35.63754722,-78.4843,1
37,370453,105,0,12,5,2018,7,14,25,35.52260556,-79.3004,1
37,370454,105,0,13,5,2018,1,18,59,35.37456944,-79.2325,1
37,370455,119,870,1,5,2018,3,22,25,35.22923611,-80.8404,1
37,370456,119,870,4,5,2018,6,1,10,35.22042778,-80.7805,1
37,370457,119,2280,5,5,2018,7,5,4,35.396625,-80.8546,1
