state,st_case,county,city,day,month,year,day_week,hour,minute,latitude,longitud,fatals
1,10001,73,330,19,2,2017,1,23,35,33.33566111,-87.0071,1
1,10002,89,1730,14,2,2017,3,14,59,34.66152778,-86.7869,1
1,10003,101,2130,31,1,2017,3,20,31,32.36651944,-86.1453,1
1,10004,73,350,1,1,2017,1,16,55,33.510175,-86.89399999999999,1
1,10005,13,0,1,1,2017,1,20,0,31.94723611,-86.5568,1
1,10006,49,0,6,1,2017,6,18,40,34.36707778,-85.8042,1
1,10007,73,350,11,1,2017,4,17,57,33.54551111,-86.7614,1
1,10008,3,0,11,1,2017,4,16,50,31.03366667,-87.6351,1
1,10009,87,0,11,1,2017,4,14,30,32.41759167,-85.9429,1
1,10010,73,0,14,1,2017,7,4,0,33.66844167,-86.5534,1
1,10011,87,0,15,1,2017,1,4,35,32.39305833,-85.9839,2
1,10012,85,0,19,1,2017,5,21,50,32.13146389,-86.4451,1
1,10013,83,0,1,1,2017,1,18,34,34.96279722,-86.7952,2
1,10014,43,0,2,1,2017,2,17,5,34.09405556,-86.8,1
1,10015,121,0,4,1,2017,4,0,35,33.18518333,-86.2849,1
1,10016,121,0,4,1,2017,4,17,10,33.43155833,-86.185,1
1,10017,101,2130,4,1,2017,4,1,15,32.18711944,-86.0408,1
1,10018,121,680,4,1,2017,4,23,48,33.26630833,-86.3522,1
1,10019,55,1280,5,1,2017,5,7,44,34.02868333,-86.0316,3
1,10020,89,1730,6,1,2017,6,23,1,34.84546389,-86.6427,1
1,10021,111,0,7,1,2017,7,16,40,33.158925,-85.4351,1
1,10022,103,0,9,1,2017,2,19,44,34.52646111,-86.7878,1
1,10023,79,0,5,1,2017,5,8,45,34.49385833,-87.2587,1
1,10024,109,0,6,1,2017,6,11,27,31.76679722,-85.9067,1
1,10025,123,0,11,1,2017,4,0,30,32.90336111,-85.7637,1
1,10026,3,0,11,1,2017,4,6,30,30.47240833,-87.8186,1
1,10027,83,170,12,1,2017,5,20,23,34.81880833,-86.9508,1
1,10028,15,0,12,1,2017,5,1,14,33.80732222,-85.8345,1
1,10029,43,0,12,1,2017,5,0,27,34.13319444,-86.6486,1
1,10030,47,0,12,1,2017,5,23,45,32.41738611,-87.0832,1
1,10031,15,0,13,1,2017,6,13,20,33.76197222,-86.0434,1
1,10032,11,0,13,1,2017,6,17,0,32.21607222,-85.9157,1
1,10033,61,0,14,1,2017,7,14,35,31.17472778,-85.5959,1
1,10034,47,0,14,1,2017,7,0,15,32.35299722,-86.9696,1
1,10035,9,0,14,1,2017,7,3,30,33.85131111,-86.8796,2
1,10036,75,0,14,1,2017,7,11,10,33.75118611,-88.2306,1
1,10037,125,3050,14,1,2017,7,18,36,33.19260278,-87.5262,1
1,10038,131,0,18,1,2017,4,11,50,32.00772222,-87.0399,1
1,10039,3,1120,18,1,2017,4,3,8,30.52319722,-87.9095,1
1,10040,113,0,20,1,2017,6,20,42,32.46786389,-85.1068,1
1,10041,109,0,21,1,2017,7,1,45,31.88147222,-85.8969,2
1,10042,73,330,22,1,2017,1,2,43,33.40672778,-86.9609,2
1,10043,97,0,22,1,2017,1,18,40,31.12401667,-88.1094,1
1,10044,3,0,23,1,2017,2,19,35,30.37024722,-87.70100000000001,1
1,10045,75,0,24,1,2017,3,8,15,33.95275833,-88.1534,1
1,10046,71,1633,24,1,2017,3,14,35,34.84603611,-85.626,1
1,10047,73,350,27,1,2017,6,20,38,33.50980278,-86.8951,1
1,10048,35,0,27,1,2017,6,16,40,31.29880833,-86.8745,1
1,10049,71,0,27,1,2017,6,9,45,34.67881667,-86.1874,1
