state,st_case,county,city,day,month,year,day_week,hour,minute,latitude,longitud,fatals
1,10001,73,1716,1,1,2016,6,9,25,33.42645833,-86.8197,1
1,10002,73,1716,10,1,2016,1,19,59,33.40030556,-86.7872,1
1,10003,73,0,1,1,2016,6,2,20,33.64924444,-86.6073,1
1,10004,73,0,17,1,2016,1,21,45,33.42995556,-86.8222,1
1,10005,73,3125,26,1,2016,3,20,7,33.41205,-86.8056,1
1,10006,109,0,1,1,2016,6,1,10,31.72063333,-85.96,1
1,10007,117,530,1,1,2016,6,23,34,33.14415,-86.7928,1
1,10008,83,0,4,1,2016,2,17,30,34.96508056,-87.0148,1
1,10009,103,2545,4,1,2016,2,5,37,34.50008611,-86.8537,2
1,10010,69,0,5,1,2016,3,15,18,31.31075,-85.2521,2
1,10011,73,350,6,1,2016,4,8,4,33.53113611,-86.7578,1
1,10012,93,1540,6,1,2016,4,14,20,34.124425,-88.0447,1
1,10013,55,0,7,1,2016,5,16,55,33.96818889,-86.1208,1
1,10014,97,2100,8,1,2016,6,0,35,30.62527222,-88.0879,1
1,10015,121,0,8,1,2016,6,7,25,33.56590278,-85.9399,1
1,10016,121,0,9,1,2016,7,4,30,33.15789167,-86.3779,1
1,10017,49,0,11,1,2016,2,19,43,34.437675,-85.9871,1
1,10018,71,0,13,1,2016,4,8,0,34.56575,-86.0371,1
1,10019,103,0,13,1,2016,4,16,35,34.51645556,-86.5936,1
1,10020,123,550,10,1,2016,1,1,20,32.80048889,-85.645,4
1,10021,79,0,13,1,2016,4,7,30,34.41686944,-87.1615,1
1,10022,73,350,14,1,2016,5,10,35,33.51363889,-86.7924,1
1,10023,83,9997,14,1,2016,5,4,35,34.87481944,-86.9807,2
1,10024,47,2760,14,1,2016,5,13,45,32.42207778,-87.0331,1
1,10025,15,0,15,1,2016,6,21,45,33.88647222,-85.9167,1
1,10026,89,1730,15,1,2016,6,12,43,34.71243611,-86.671,1
1,10027,97,2100,15,1,2016,6,20,9,30.65030833,-88.10799999999999,1
1,10028,55,0,15,1,2016,6,14,35,34.04243333,-86.1538,2
1,10029,123,0,14,1,2016,5,11,54,33.09165833,-85.7791,1
1,10030,33,2780,10,1,2016,1,4,23,34.74736111,-87.6804,1
1,10031,51,2063,21,1,2016,5,14,24,32.50413889,-86.3877,1
1,10032,117,350,21,1,2016,5,7,30,33.46345833,-86.6419,1
1,10033,101,2130,21,1,2016,5,7,48,32.38260278,-86.1734,1
